system time,modelled battery use nWh,fuel gauge consumption nWh,adb consumption mAh,Execution Time seconds,Battery Temperature before run in tenth of C,Battery Temperature after run in tenth of C,CPU-therm before run,CPU-therm after run in,average voltage,average percentage,AUT Jiffy,average of all deviations,dev. in length,LOC executed,AUT VM,advance iterations,noWhile,calls,advance total time nano sec,test suite total time nano sec,total number of tests,total number of failed tests,total number of passed tests,averageDeviation_EXPECTED_POSITIONS_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_POSITIONS_CLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_CLAMPED,dev. in length,averageDeviation_testSettingVelocityTriggersIteration,dev. in length,averageDeviation_testSettingCurrentValueWithoutSettingAtRestTriggersIteration,dev. in length,averageDeviation_testSpringMotionWithNoFriction,dev. in length,
1608532082790,2.2811121E7,22811121,17.1,31.465,-2147483648,26700,-2147483648,26700,4115.0,100.0,3079.0,0,0.0,86545,10.5570068359375,3803,0,272,30278404187,3.0294681274E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1608532108933,1.7523674E7,17523674,7.0,23.536,-2147483648,27000,-2147483648,27000,4115.0,100.0,2295.0,1.6072321344399063125507609584019519388675689697265625,0.12668845326814043,63325,11.2508544921875,2779,0,225,22389122067,2.2410300905E10,8,7,1,0.009731476875182743,0.0,0.15426804780581355,0.0,0.037249378329087035,0.0,0.8828262089913658,0.0,1.5613093892452472,0.2676056338028169,0.019091177317089213,0.32653061224489793,8.586149262515558,0.2926829268292683,
1608532113885,1991606.0,1991606,1.1999999999999993,2.262,-2147483648,27100,-2147483648,27100,4115.0,100.0,168.0,1.2489337359519094849957809856277890503406524658203125,0.4117477387971432,2989,11.124664306640625,0,117,117,1100847776,1.118803111E9,8,7,1,0.952794246835695,0.0,0.7321568609989577,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,0.5002469107683888,0.971830985915493,0.019938636746036156,0.9591836734693877,0.8897353733096897,0.9512195121951219,
1608532116299,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,27100,-2147483648,27100,4115.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1608532121937,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,27200,-2147483648,27200,4115.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1608532126630,1819926.0,1819926,3.1999999999999993,2.169,-2147483648,27200,-2147483648,27200,4115.0,100.0,161.0,1.4173139833923305008767101753619499504566192626953125,0.4033358939100006,2830,11.077194213867188,0,120,120,1044330520,1.062783774E9,8,7,1,0.952794246835695,0.0,0.7321568609989577,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,0.9023290653431498,0.9577464788732394,0.0383996417276635,0.9387755102040817,1.6478539458362473,0.926829268292683,
1608532131447,1837924.0,1837924,1.1999999999999993,2.178,-2147483648,27300,-2147483648,27300,4115.0,100.0,164.0,1.7254137953818393658167451576446183025836944580078125,0.39783950091790166,2904,11.129974365234375,1,121,122,1068545856,1.089653275E9,8,7,1,0.9568416689258085,0.0,1.5453175811590238,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,1.346121071377956,0.9436619718309859,0.03820491893184209,0.9387755102040817,2.5437472042736453,0.9024390243902439,
1608532133976,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,27400,-2147483648,27400,4115.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1608532139600,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,27400,-2147483648,27400,4115.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1608532176837,2.606576E7,26065760,12.099999999999998,34.692,-2147483648,27700,-2147483648,27700,4115.0,100.0,3405.0,0.64822289934195886917933648874168284237384796142578125,0.02030801033177662,94837,11.5457763671875,4171,0,279,33563903182,3.358677435E10,8,7,1,0.0031684189922296857,0.0,0.04638087964239165,0.0,0.01098038950582529,0.0,0.18152268634853905,0.0,0.5261993230571105,0.028169014084507043,0.006400948296467432,0.04081632653061224,3.762907649551149,0.07317073170731707,
1608532211227,2.3932961E7,23932961,51.0,31.763,-2147483648,28000,-2147483648,28000,4115.0,100.0,3113.0,0,0.0,86545,10.622573852539063,3803,0,272,30636570724,3.0652219559E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1608532254423,3.0578872E7,30578872,11.5,40.585,-2147483648,28300,-2147483648,28300,4115.0,100.0,3992.0,4.5850469949070404851454441086389124393463134765625,0.08400727911520892,111473,11.631011962890625,4907,0,307,39419324348,3.9441303269E10,8,7,1,0.02465630117290725,0.0,0.3219765135617482,0.0,0.07782198532676271,0.0,1.32299106193184,0.0,4.315105836393118,0.352112676056338,0.04911052450175714,0.04081632653061224,25.983666741461153,0.1951219512195122,
1608532259275,1860716.0,1860716,1.2000000000000028,2.199,-2147483648,28300,-2147483648,28300,4115.0,100.0,164.0,1.6735995637932472579478826446575112640857696533203125,0.39783950091790166,2904,11.197952270507813,1,121,122,1067597524,1.088008275E9,8,7,1,0.9455182932826213,0.0,1.1939681880952802,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,1.346121071377956,0.9436619718309859,0.038178066518628984,0.9387755102040817,2.5437472042736453,0.9024390243902439,
1608532261793,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,28400,-2147483648,28400,4115.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
