system time,modelled battery use microAh,fuel gauge consumption microAh,adb consumption mAh,Execution Time seconds,Battery Temperature before run in tenth of C,Battery Temperature after run in tenth of C,CPU-therm before run,CPU-therm after run in,average voltage,average percentage,AUT Jiffy,average of all deviations,dev. in length,LOC executed,AUT VM,advance iterations,noWhile,calls,advance total time nano sec,test suite total time nano sec,total number of tests,total number of failed tests,total number of passed tests,averageDeviation_EXPECTED_POSITIONS_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_POSITIONS_CLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_CLAMPED,dev. in length,averageDeviation_testSettingVelocityTriggersIteration,dev. in length,averageDeviation_testSettingCurrentValueWithoutSettingAtRestTriggersIteration,dev. in length,averageDeviation_testSpringMotionWithNoFriction,dev. in length,
1606514425585,2943.0,2943,9.58,43.589996,-2147483648,262,-2147483648,262,4203.0,100.0,4224.0,0,0.0,86545,8.893440246582031,3803,0,272,39624990979,3.9662296138E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1606514489137,3948.0,3948,6.32,58.050003,-2147483648,266,-2147483648,266,4197.0,100.0,5668.0,3.851658522941828977081968332640826702117919921875,0.15283237503668098,116977,9.882598876953125,5147,0,329,53935237977,5.3996124858E10,8,7,1,0.020315209585220154,0.0,0.2710093602120475,0.0,0.06544392454283102,0.0,1.1835908855459363,0.0,3.526663742390588,0.39436619718309857,0.0405187864913875,0.16326530612244897,21.854067751824793,0.5121951219512195,
1606514499922,356.0,356,1.0999999999999996,5.149,-2147483648,268,-2147483648,268,4172.0,100.0,400.0,1.3392785530637019153488154188380576670169830322265625,0.40883228690209955,2804,9.623954772949219,1,117,118,1249929450,1.302581692E9,8,7,1,0.9494737212790625,0.0,1.3496580711911284,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,0.5002469107683888,0.971830985915493,0.03817167189304664,0.9387755102040817,0.8897353733096897,0.9512195121951219,
1606514544671,2667.0,2667,4.5,39.351,-2147483648,268,-2147483648,268,4172.0,100.0,3792.0,1.0132381483660128917989595720428042113780975341796875,0.06586958285301656,75990,9.752304077148438,3339,0,245,35340615080,3.5401918265E10,8,7,1,0.005299845218458433,0.0,0.08145934509007047,0.0,0.019437363333179903,0.0,0.5286730526607314,0.0,0.8595867114538851,0.2535211267605634,0.010776207089472231,0.061224489795918366,5.587434513716293,0.14634146341463414,
1606514557160,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,271,-2147483648,271,4188.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606514562750,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,271,-2147483648,271,4188.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606514568262,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,271,-2147483648,271,4188.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606514613645,2793.0,2793,7.199999999999999,40.127,-2147483648,271,-2147483648,271,4188.0,100.0,3894.0,0.6295787005192874374870370957069098949432373046875,0.061693205524836425,78542,9.970802307128906,3451,0,251,36243609079,3.6297512679E10,8,7,1,0.0032462338111903,0.0,0.04915075626727045,0.0,0.011714478565707944,0.0,0.21244615053853674,0.0,0.5310438581226938,0.028169014084507043,0.006381855207313104,0.30612244897959184,3.5930675711222992,0.0975609756097561,
1606514663219,2994.0,2994,33.7,44.012,-2147483648,273,-2147483648,273,4189.0,100.0,4266.0,0,0.0,86545,9.129547119140625,3803,0,272,40050779146,4.0090089933E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1606514696526,1936.0,1936,3.299999999999997,27.877,-2147483648,275,-2147483648,275,4173.0,100.0,2666.0,2.092092049370744444303227282944135367870330810546875,0.20142056920918242,51707,9.919677734375,2267,0,199,23936039102,2.3992181035E10,8,7,1,0.020025680063525328,0.0,0.3381177008236471,0.0,0.08693526037388123,0.0,2.07958861922377,0.0,3.1302508867474432,0.4084507042253521,0.0397080891038418,0.3673469387755102,8.950018109259103,0.6341463414634146,
