system time,modelled battery use nWh,fuel gauge consumption nWh,adb consumption mAh,Execution Time seconds,Battery Temperature before run in tenth of C,Battery Temperature after run in tenth of C,CPU-therm before run,CPU-therm after run in,average voltage,average percentage,AUT Jiffy,average of all deviations,dev. in length,LOC executed,AUT VM,advance iterations,noWhile,calls,advance total time nano sec,test suite total time nano sec,total number of tests,total number of failed tests,total number of passed tests,averageDeviation_EXPECTED_POSITIONS_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_POSITIONS_CLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_CLAMPED,dev. in length,averageDeviation_testSettingVelocityTriggersIteration,dev. in length,averageDeviation_testSettingCurrentValueWithoutSettingAtRestTriggersIteration,dev. in length,averageDeviation_testSpringMotionWithNoFriction,dev. in length,
1606514719268,1.8237389E7,18237389,6.6000000000000085,24.119,-2147483648,29400,-2147483648,29400,4253.0,99.0,2353.0,0.000007864228098263861867493924873162569610940408892929553985595703125,0.1632803290624784,65069,11.280105590820313,2859,0,213,22982159625,2.3000565461E10,8,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6497072018544162E-5,0.29577464788732394,3.8552524669302876E-5,0.40816326530612246,0.0,0.43902439024390244,
1606514745831,1.8221286E7,18221286,6.5,23.866999,-2147483648,29500,-2147483648,29500,4253.0,99.0,2328.0,0.000007864228098263861867493924873162569610940408892929553985595703125,0.170248970177461,64341,11.218124389648438,2827,0,211,22741828354,2.2759219939E10,8,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6497072018544162E-5,0.29577464788732394,3.8552524669302876E-5,0.40816326530612246,0.0,0.4878048780487805,
1606514772343,1.8173867E7,18173867,6.5,23.855,-2147483648,29500,-2147483648,29500,4253.0,99.0,2327.0,0.000007864228098263861867493924873162569610940408892929553985595703125,0.170248970177461,64341,11.261932373046875,2827,0,211,22731062351,2.2749234354E10,8,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6497072018544162E-5,0.29577464788732394,3.8552524669302876E-5,0.40816326530612246,0.0,0.4878048780487805,
1606514778050,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,29500,-2147483648,29500,4253.0,99.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606514804591,1.8608573E7,18608573,8.099999999999994,23.871,-2147483648,29600,-2147483648,29600,4253.0,99.0,2329.0,0.000007864228098263861867493924873162569610940408892929553985595703125,0.170248970177461,64341,11.283126831054688,2827,0,211,22742360686,2.2760825688E10,8,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6497072018544162E-5,0.29577464788732394,3.8552524669302876E-5,0.40816326530612246,0.0,0.4878048780487805,
1606514831133,1.8101288E7,18101288,6.0,23.857,-2147483648,29700,-2147483648,29700,4253.0,99.0,2329.0,0.000007864228098263861867493924873162569610940408892929553985595703125,0.170248970177461,64341,11.438095092773438,2827,0,211,22734220186,2.2751707104E10,8,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6497072018544162E-5,0.29577464788732394,3.8552524669302876E-5,0.40816326530612246,0.0,0.4878048780487805,
1606514857758,1.8338384E7,18338384,7.0,23.960999,-2147483648,29700,-2147483648,29700,4253.0,99.0,2330.0,0.000007864228098263861867493924873162569610940408892929553985595703125,0.170248970177461,64341,11.291534423828125,2827,0,211,22795715024,2.2814779027E10,8,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6497072018544162E-5,0.29577464788732394,3.8552524669302876E-5,0.40816326530612246,0.0,0.4878048780487805,
1606514884392,1.817588E7,18175880,6.0,23.939,-2147483648,29800,-2147483648,29800,4253.0,99.0,2331.0,0.000007864228098263861867493924873162569610940408892929553985595703125,0.170248970177461,64341,11.62353515625,2827,0,211,22792534273,2.2810820859E10,8,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6497072018544162E-5,0.29577464788732394,3.8552524669302876E-5,0.40816326530612246,0.0,0.4878048780487805,
1606514910318,1.7757987E7,17757987,7.0,23.280998,-2147483648,29800,-2147483648,29800,4253.0,99.0,2267.0,0.377115473706578219204033075584447942674160003662109375,0.18214513562209494,62526,11.39666748046875,2747,0,207,22133304290,2.2154584461E10,8,7,1,0.0036575158016913557,0.0,0.055543706218480524,0.0,0.013225580155294412,0.0,0.24178375120095366,0.0,0.5961531246724044,0.30985915492957744,0.006988612914125385,0.42857142857142855,1.7224560249830978,0.5365853658536586,
1606514938619,1.8340397E7,18340397,6.0,23.971,-2147483648,30200,-2147483648,30200,4253.0,98.5,2329.0,0.000007864228098263861867493924873162569610940408892929553985595703125,0.170248970177461,64341,11.4901123046875,2827,0,211,22770167188,2.2788044773E10,8,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6497072018544162E-5,0.29577464788732394,3.8552524669302876E-5,0.40816326530612246,0.0,0.4878048780487805,
