system time,modelled battery use microAh,fuel gauge consumption microAh,adb consumption mAh,Execution Time seconds,Battery Temperature before run in tenth of C,Battery Temperature after run in tenth of C,CPU-therm before run,CPU-therm after run in,average voltage,average percentage,AUT Jiffy,average of all deviations,dev. in length,LOC executed,AUT VM,advance iterations,noWhile,calls,advance total time nano sec,test suite total time nano sec,total number of tests,total number of failed tests,total number of passed tests,averageDeviation_EXPECTED_POSITIONS_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_POSITIONS_CLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_CLAMPED,dev. in length,averageDeviation_testSettingVelocityTriggersIteration,dev. in length,averageDeviation_testSettingCurrentValueWithoutSettingAtRestTriggersIteration,dev. in length,averageDeviation_testSpringMotionWithNoFriction,dev. in length,
1607741753765,2559.0,2559,7.03,62.442997,-2147483648,272,-2147483648,272,4302.0,100.0,6169.0,0,0.0,86545,12.3380126953125,3803,0,272,61184099010,6.1203559482E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1607741803381,1905.0,1905,2.4400000000000004,45.654,-2147483648,273,-2147483648,273,4312.0,100.0,4490.0,1.751476820106393716969250817783176898956298828125,0.13017277382563172,62961,13.059707641601563,2763,0,224,44382196922,4.4411017238E10,8,7,1,0.010842121490000214,0.0,0.17330891157436906,0.0,0.041999303585014934,0.0,0.9851165740052904,0.0,1.7356720417815061,0.2676056338028169,0.02131030215170176,0.32653061224489793,9.292088486156873,0.3170731707317073,
1607741806919,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,273,-2147483648,273,4312.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1607741810216,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,274,-2147483648,274,4305.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1607741850573,1454.0,1454,2.33,36.494,-2147483648,274,-2147483648,274,4305.0,100.0,3571.0,2.104805785532684492267208042903803288936614990234375,0.2068879178505578,49538,13.025337219238281,2171,0,196,35202174653,3.5228756583E10,8,7,1,0.019299541764339477,0.0,0.32505731812981137,0.0,0.0829490701316738,0.0,1.9814345398423827,0.0,3.015485079568827,0.4507042253521127,0.03812122166326452,0.3877551020408163,9.271293727628493,0.6097560975609756,
1607741895773,1700.0,1700,2.1999999999999993,41.227997,-2147483648,274,-2147483648,274,4305.0,100.0,4041.0,1.9402443849333741443530243486748076975345611572265625,0.19273230222549834,56399,13.066169738769531,2475,0,204,39943783928,3.9971339295E10,8,7,1,0.022678830611971065,0.0,0.38233503756646603,0.0,0.10176037657020671,0.0,2.4198171466884,0.0,3.5462711137740404,0.352112676056338,0.04570455825273123,0.2653061224489796,7.063143631069805,0.7317073170731707,
1607741903274,179.0,179,0.40000000000000036,3.455,-2147483648,275,-2147483648,275,4296.0,100.0,276.0,1.121877297917710070151997570064850151538848876953125,0.4172441317892422,2935,13.076835632324219,0,115,115,2157442038,2.180475322E9,8,7,1,0.952794246835695,0.0,0.7321568609989577,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,0.18224864859074302,0.9859154929577465,0.019938636746036156,0.9591836734693877,0.31833856924793846,0.975609756097561,
1607741908744,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,275,-2147483648,275,4296.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1607741960078,1967.0,1967,2.799999999999999,47.448,-2147483648,275,-2147483648,275,4296.0,100.0,4664.0,0.000007864228098263861867493924873162569610940408892929553985595703125,0.1632803290624784,65069,12.926246643066406,2859,0,213,46165848138,4.6189843769E10,8,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6497072018544162E-5,0.29577464788732394,3.8552524669302876E-5,0.40816326530612246,0.0,0.43902439024390244,
1607742026453,2567.0,2567,20.5,62.431,-2147483648,275,-2147483648,275,4304.0,100.0,6159.0,0,0.0,86545,12.545585632324219,3803,0,272,61153311145,6.1173215626E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1607742033763,161.0,161,0.3999999999999986,3.392,-2147483648,276,-2147483648,276,4294.0,100.0,273.0,7.3925931792069690118296421132981777191162109375,0.4033358939100006,2878,13.124244689941406,2,118,120,2128364588,2.154812193E9,8,7,1,2.3416559042212493,0.0,41.170649036215956,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,0.9023290653431498,0.9577464788732394,0.03800017982757749,0.9387755102040817,1.6478539458362473,0.926829268292683,
1607742041132,178.0,178,0.3000000000000007,3.447,-2147483648,276,-2147483648,276,4294.0,100.0,278.0,1.121877297917710070151997570064850151538848876953125,0.4172441317892422,2935,13.199798583984375,0,115,115,2180613083,2.202592562E9,8,7,1,0.952794246835695,0.0,0.7321568609989577,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,0.18224864859074302,0.9859154929577465,0.019938636746036156,0.9591836734693877,0.31833856924793846,0.975609756097561,
1607742046681,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,276,-2147483648,276,4294.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1607742054004,166.0,166,0.6999999999999993,3.409,-2147483648,276,-2147483648,276,4294.0,100.0,273.0,7.70244390507497822540017295978032052516937255859375,0.4033358939100006,2902,13.223823547363281,3,117,120,2116212867,2.143681778E9,8,7,1,7.037509835897939,0.0,38.64400201045291,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,0.9023290653431498,0.9577464788732394,0.03774835499000393,0.9387755102040817,1.6478539458362473,0.926829268292683,
