system time,modelled battery use microAh,fuel gauge consumption microAh,adb consumption mAh,Execution Time seconds,Battery Temperature before run in tenth of C,Battery Temperature after run in tenth of C,CPU-therm before run,CPU-therm after run in,average voltage,average percentage,AUT Jiffy,average of all deviations,dev. in length,LOC executed,AUT VM,advance iterations,noWhile,calls,advance total time nano sec,test suite total time nano sec,total number of tests,total number of failed tests,total number of passed tests,averageDeviation_EXPECTED_POSITIONS_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_POSITIONS_CLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_CLAMPED,dev. in length,averageDeviation_testSettingVelocityTriggersIteration,dev. in length,averageDeviation_testSettingCurrentValueWithoutSettingAtRestTriggersIteration,dev. in length,averageDeviation_testSpringMotionWithNoFriction,dev. in length,
1606514450831,3243.0,3243,8.8,77.108,-2147483648,262,-2147483648,262,4322.0,100.0,7589.0,0,0.0,86545,5.567558288574219,3803,0,272,73233770421,7.3265190007E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1606514456692,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,266,-2147483648,266,4319.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606514468809,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,266,-2147483648,266,4319.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606514481057,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,266,-2147483648,266,4319.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606514486717,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,268,-2147483648,268,4303.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606514570210,3263.0,3263,7.0,78.245,-2147483648,268,-2147483648,268,4303.0,100.0,7706.0,0,0.0,86545,5.885009765625,3803,0,272,74383629808,7.4418325278E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1606514653890,3271.0,3271,20.3,78.366,-2147483648,271,-2147483648,271,4313.0,100.0,7715.0,0,0.0,86545,5.863128662109375,3803,0,272,74505189976,7.4540069717E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1606514780819,5073.0,5073,6.699999999999999,121.614,-2147483648,273,-2147483648,273,4315.0,100.0,12036.0,5.29106244449521767592159449122846126556396484375,0.2852936433934618,138045,5.159111022949219,6075,0,380,117683307451,1.17743168968E11,8,7,1,0.028893332320565807,0.0,0.37118108161867697,0.0,0.08950924441550372,0.0,1.4488220161254084,0.0,5.116472368256384,0.7183098591549296,0.05710256809825955,0.5714285714285714,29.925456500631725,0.7073170731707317,
1606514923201,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,275,-2147483648,275,4309.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606514999627,2971.0,2971,12.0,71.045,-2147483648,277,-2147483648,277,4307.0,99.0,6985.0,0.56127679227601401379388335044495761394500732421875,0.061693205524836425,78542,5.086357116699219,3451,0,251,67149912523,6.7200119924E10,8,7,1,0.0029012928178209977,0.0,0.043816068186198015,0.0,0.010451991595015461,0.0,0.18827999627799005,0.0,0.47520423397905603,0.028169014084507043,0.005687878819299492,0.30612244897959184,3.2025960842567183,0.0975609756097561,
1606515082442,3279.0,3279,4.399999999999999,77.561,-2147483648,278,-2147483648,278,4304.0,99.0,7638.0,0,0.0,86545,6.028160095214844,3803,0,272,73711429166,7.3743433286E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1606515103032,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,278,-2147483648,278,4302.0,99.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606515114858,311.0,311,2.0,6.55,-2147483648,278,-2147483648,278,4302.0,99.0,518.0,2.023997939231536147275392067967914044857025146484375,0.39783950091790166,2904,5.235107421875,1,121,122,2458012277,2.504461291E9,8,7,1,0.986283388009048,0.0,3.6060151165399623,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,1.346121071377956,0.9436619718309859,0.03815467141554298,0.9387755102040817,2.5437472042736453,0.9024390243902439,
1606515127077,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,279,-2147483648,279,4297.0,99.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606515138517,307.0,307,1.6000000000000014,6.24,-2147483648,279,-2147483648,279,4297.0,99.0,515.0,1.4173147005369470807778498055995441973209381103515625,0.4033358939100006,2830,5.047157287597656,0,120,120,2412947895,2.454423369E9,8,7,1,0.952794246835695,0.0,0.7321568609989577,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,0.9023290653431498,0.9577464788732394,0.03840466173998081,0.9387755102040817,1.6478539458362473,0.926829268292683,
1606515201494,2406.0,2406,3.3999999999999986,57.628,-2147483648,279,-2147483648,279,4297.0,99.0,5645.0,0.56168862233399907690767349777161143720149993896484375,0.17718856694172,62522,5.279045104980469,2747,0,208,53765340877,5.3817630726E10,8,7,1,0.004704489734372118,0.0,0.07198788452783679,0.0,0.017145665744940565,0.0,0.4874210134455182,0.0,0.7640560277200656,0.323943661971831,0.008973072535038054,0.42857142857142855,2.577532202630222,0.4878048780487805,
1606515277734,2980.0,2980,4.100000000000001,70.909,-2147483648,280,-2147483648,280,4283.0,99.0,6974.0,0.56127679227601401379388335044495761394500732421875,0.061693205524836425,78542,4.845100402832031,3451,0,251,67036012249,6.7082514026E10,8,7,1,0.0029012928178209977,0.0,0.043816068186198015,0.0,0.010451991595015461,0.0,0.18827999627799005,0.0,0.47520423397905603,0.028169014084507043,0.005687878819299492,0.30612244897959184,3.2025960842567183,0.0975609756097561,
1606515342559,2477.0,2477,3.5,59.525,-2147483648,280,-2147483648,280,4297.0,99.0,5833.0,0.390972722291469232391847299368237145245075225830078125,0.17169217394962108,63618,5.4544830322265625,2795,0,210,55638045491,5.56872469E10,8,7,1,0.0033169323782960385,0.0,0.05024705346668118,0.0,0.011974045137700279,0.0,0.21744786226495924,0.0,0.5412638532743347,0.30985915492957744,0.006325150417646718,0.42857142857142855,1.9062341591006666,0.4634146341463415,
1606515405359,2407.0,2407,3.299999999999997,57.39,-2147483648,280,-2147483648,280,4282.0,99.0,5613.0,0.56168862233399907690767349777161143720149993896484375,0.17718856694172,62522,5.438812255859375,2747,0,208,53450361107,5.3499850017E10,8,7,1,0.004704489734372118,0.0,0.07198788452783679,0.0,0.017145665744940565,0.0,0.4874210134455182,0.0,0.7640560277200656,0.323943661971831,0.008973072535038054,0.42857142857142855,2.577532202630222,0.4878048780487805,
1606515487988,3252.0,3252,4.400000000000006,77.308,-2147483648,280,-2147483648,280,4281.0,99.0,7609.0,2.30284169562186402657744110911153256893157958984375,0.08236477100532513,86052,5.443443298339844,3787,0,247,73415816481,7.3466267266E10,8,7,1,0.014593163213058272,0.0,0.201067982292635,0.0,0.04835902911309132,0.0,0.9775762841314238,0.0,2.504146829091359,0.014084507042253521,0.02637030692110443,0.3673469387755102,12.347778274590377,0.1951219512195122,
1606515550217,2420.0,2420,3.3999999999999915,56.947,-2147483648,280,-2147483648,280,4292.0,99.0,5576.0,0.56168862233399907690767349777161143720149993896484375,0.17718856694172,62522,5.6375732421875,2747,0,208,53080673360,5.3126938522E10,8,7,1,0.004704489734372118,0.0,0.07198788452783679,0.0,0.017145665744940565,0.0,0.4874210134455182,0.0,0.7640560277200656,0.323943661971831,0.008973072535038054,0.42857142857142855,2.577532202630222,0.4878048780487805,
