system time,modelled battery use microAh,fuel gauge consumption microAh,adb consumption mAh,Execution Time seconds,Battery Temperature before run in tenth of C,Battery Temperature after run in tenth of C,CPU-therm before run,CPU-therm after run in,average voltage,average percentage,AUT Jiffy,average of all deviations,dev. in length,LOC executed,AUT VM,advance iterations,noWhile,calls,advance total time nano sec,test suite total time nano sec,total number of tests,total number of failed tests,total number of passed tests,averageDeviation_EXPECTED_POSITIONS_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_POSITIONS_CLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_CLAMPED,dev. in length,averageDeviation_testSettingVelocityTriggersIteration,dev. in length,averageDeviation_testSettingCurrentValueWithoutSettingAtRestTriggersIteration,dev. in length,averageDeviation_testSpringMotionWithNoFriction,dev. in length,
1608532128690,8066.0,8066,15.1,100.629,-2147483648,252,-2147483648,252,4032.0,100.0,9935.0,0,0.0,86545,27.672279357910156,3803,0,272,98689836861,9.871310624E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1608532132258,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,265,-2147483648,265,4108.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1608532236735,7748.0,7748,11.4,100.689,-2147483648,265,-2147483648,265,4108.0,99.5,9931.0,0.33702621454967729430762801712262444198131561279296875,0.008980713549590224,85453,28.62152862548828,3755,0,269,98840677032,9.8876280371E10,8,7,1,0.0016698461273667237,0.0,0.025039869279788435,0.0,0.005976191223545002,0.0,0.10530220489223956,0.0,0.2746583667071127,0.014084507042253521,0.0033912612635806113,0.0,1.9431457623541077,0.04878048780487805,
1608532342411,7758.0,7758,37.6,101.771,-2147483648,268,-2147483648,268,4097.0,99.0,10051.0,0,0.0,86545,27.81147003173828,3803,0,272,100049275802,1.00074714136E11,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1608532351579,482.0,482,1.0,5.3059998,-2147483648,272,-2147483648,272,4122.0,99.0,433.0,1.617507374577152656769385430379770696163177490234375,0.39783950091790166,2904,28.39702606201172,1,121,122,3495125191,3.524220819E9,8,7,1,0.9507581048205206,0.0,0.7960408814786945,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,1.346121071377956,0.9436619718309859,0.038220237084653406,0.9387755102040817,2.5437472042736453,0.9024390243902439,
1608532355094,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,272,-2147483648,272,4122.0,99.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1608532483848,9533.0,9533,13.699999999999996,124.945,-2147483648,272,-2147483648,272,4122.0,98.5,12381.0,1.7248233765937392991673959841136820614337921142578125,0.08326214128974944,105728,28.886924743652344,4651,0,305,123080529343,1.23114826901E11,8,7,1,0.00851545152549102,0.0,0.12101678902557707,0.0,0.028826343472389906,0.0,0.7032367053230034,0.0,1.4352406115988567,0.28169014084507044,0.017121085132740604,0.08163265306122448,9.759806650078115,0.21951219512195122,
1608532642767,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,276,-2147483648,276,4094.0,98.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1608532749300,7934.0,7934,28.900000000000006,102.537994,-2147483648,281,-2147483648,281,4085.0,97.5,10137.0,0.10772071180856339356335382717588800005614757537841796875,0.0029154518950437317,87268,28.91954803466797,3835,0,273,100697484822,1.00733583368E11,8,7,1,5.157340920994969E-4,0.0,0.00767096109835693,0.0,0.0018230959793246373,0.0,0.031194774340000397,0.0,0.08537282336304867,0.0,0.0010555246564542006,0.02040816326530612,0.6264120691306594,0.0,
1608532852332,7875.0,7875,11.0,98.939,-2147483648,282,-2147483648,282,4096.0,97.0,9784.0,0.33702621454967729430762801712262444198131561279296875,0.008980713549590224,85453,28.980796813964844,3755,0,269,97141041709,9.7176532127E10,8,7,1,0.0016698461273667237,0.0,0.025039869279788435,0.0,0.005976191223545002,0.0,0.10530220489223956,0.0,0.2746583667071127,0.014084507042253521,0.0033912612635806113,0.0,1.9431457623541077,0.04878048780487805,
