system time,modelled battery use nWh,fuel gauge consumption nWh,adb consumption mAh,Execution Time seconds,Battery Temperature before run in tenth of C,Battery Temperature after run in tenth of C,CPU-therm before run,CPU-therm after run in,average voltage,average percentage,AUT Jiffy,average of all deviations,dev. in length,LOC executed,AUT VM,advance iterations,noWhile,calls,advance total time nano sec,test suite total time nano sec,total number of tests,total number of failed tests,total number of passed tests,averageDeviation_EXPECTED_POSITIONS_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_POSITIONS_CLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_CLAMPED,dev. in length,averageDeviation_testSettingVelocityTriggersIteration,dev. in length,averageDeviation_testSettingCurrentValueWithoutSettingAtRestTriggersIteration,dev. in length,averageDeviation_testSpringMotionWithNoFriction,dev. in length,
1606579537975,2.1755171E7,21755171,15.3,30.868,-2147483648,23100,-2147483648,23100,4251.0,100.0,3016.0,0,0.0,86545,10.732315063476563,3803,0,272,29651022039,2.9666580374E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1606579542927,2024344.0,2024344,1.0999999999999979,2.263,-2147483648,23200,-2147483648,23200,4251.0,100.0,166.0,482.40356346376074725412763655185699462890625,0.39234310792580274,3002,11.31427001953125,3,121,124,1109028610,1.130389948E9,8,7,1,172.9729605578427,0.0,3192.8268696001346,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,1.7982476120858946,0.9295774647887324,0.03790334139111899,0.9387755102040817,3.541299011866272,0.8780487804878049,
1606579548683,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,23300,-2147483648,23300,4251.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606579577064,1.899657E7,18996570,8.3,25.765,-2147483648,23600,-2147483648,23600,4251.0,100.0,2510.0,1.2935620004871946076008271120372228324413299560546875,0.11422341916105894,69448,11.53497314453125,3051,0,229,24613855953,2.4634355458E10,8,7,1,0.00728967106828482,0.0,0.11366848483684476,0.0,0.02726879189224726,0.0,0.6768696336030214,0.0,1.1750591298428466,0.2535211267605634,0.014158736370829329,0.32653061224489793,7.040619555796289,0.21951219512195122,
1606579616996,2.7306118E7,27306118,9.8,37.274998,-2147483648,24100,-2147483648,24100,4251.0,100.0,3664.0,1.0601863397870150418356161026167683303356170654296875,0.060373189860917616,102107,11.775054931640625,4491,0,297,36137709939,3.6161967023E10,8,7,1,0.005248818523963132,0.0,0.07589928266264125,0.0,0.017948806828424663,0.0,0.289071077883232,0.0,0.8772580248756086,0.23943661971830985,0.010616538385887025,0.061224489795918366,6.14526182934935,0.12195121951219512,
1606579645597,1.9176537E7,19176537,7.0,25.883,-2147483648,24400,-2147483648,24400,4251.0,100.0,2523.0,1.2834637853687171915595399696030654013156890869140625,0.11073909860356765,69812,11.5609130859375,3067,0,230,24734106635,2.4755220136E10,8,7,1,0.007038155056515124,0.0,0.10955158517024889,0.0,0.026263301690363283,0.0,0.6572123037878295,0.0,1.1353579068869577,0.2535211267605634,0.01373648059573698,0.32653061224489793,7.03508676439337,0.1951219512195122,
1606579648169,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,24400,-2147483648,24400,4251.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606579678879,2.0985748E7,20985748,8.299999999999997,28.005,-2147483648,24700,-2147483648,24700,4251.0,100.0,2732.0,1.025395422099526943071623463765718042850494384765625,0.06935390341050784,75626,11.625213623046875,3323,0,244,26858100014,2.6879110516E10,8,7,1,0.00550800597458045,0.0,0.08478923559581984,0.0,0.02024412066942329,0.0,0.5434186752963188,0.0,0.8927478808376247,0.2535211267605634,0.011200678053430686,0.061224489795918366,5.619859358269491,0.17073170731707318,
1606579719040,2.7763379E7,27763379,9.900000000000006,37.463,-2147483648,24900,-2147483648,24900,4251.0,100.0,3684.0,5.62365314717849340553357251337729394435882568359375,0.10154205471755372,102737,11.829437255859375,4523,0,283,36308992872,3.6331430707E10,8,7,1,0.03179864257837396,0.0,0.4039141975092145,0.0,0.0973070669605093,0.0,1.5277080464763637,0.0,5.6745540621249315,0.38028169014084506,0.05545510441956539,0.30612244897959184,31.574834910180492,0.024390243902439025,
1606579721580,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,25000,-2147483648,25000,4251.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
