system time,modelled battery use nWh,fuel gauge consumption nWh,adb consumption mAh,Execution Time seconds,Battery Temperature before run in tenth of C,Battery Temperature after run in tenth of C,CPU-therm before run,CPU-therm after run in,average voltage,average percentage,AUT Jiffy,average of all deviations,dev. in length,LOC executed,AUT VM,advance iterations,noWhile,calls,advance total time nano sec,test suite total time nano sec,total number of tests,total number of failed tests,total number of passed tests,averageDeviation_EXPECTED_POSITIONS_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_POSITIONS_CLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_CLAMPED,dev. in length,averageDeviation_testSettingVelocityTriggersIteration,dev. in length,averageDeviation_testSettingCurrentValueWithoutSettingAtRestTriggersIteration,dev. in length,averageDeviation_testSpringMotionWithNoFriction,dev. in length,
1607264602845,2.1022216E7,21022216,16.2,30.001,-2147483648,23800,-2147483648,23800,4272.0,100.0,2928.0,0,0.0,86545,10.5794677734375,3803,0,272,28745939533,2.8763350204E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1607264644176,2.8255805E7,28255805,10.2,38.654,-2147483648,24200,-2147483648,24200,4272.0,100.0,3788.0,1.823418091999422063764768608962185680866241455078125,0.08326214128974944,105728,11.563613891601563,4651,0,305,37412261150,3.7436593984E10,8,7,1,0.009036196927278521,0.0,0.12810061459396688,0.0,0.030532442769020146,0.0,0.7290124107034849,0.0,1.5249079856037482,0.28169014084507044,0.01822491218584621,0.08163265306122448,10.32411208121261,0.21951219512195122,
1607264646739,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,24100,-2147483648,24100,4272.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1607264675164,1.9028064E7,19028064,7.600000000000001,25.777,-2147483648,24300,-2147483648,24300,4272.0,100.0,2512.0,1.3996291241952210082644114663708023726940155029296875,0.11422341916105894,69448,11.33856201171875,3051,0,229,24567281035,2.4588829287E10,8,7,1,0.007856062194768077,0.0,0.12298623590408754,0.0,0.02954707951958001,0.0,0.7221727710620794,0.0,1.2643251854978503,0.2535211267605634,0.015356054828818648,0.32653061224489793,7.635160480359364,0.21951219512195122,
1607264680930,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,24400,-2147483648,24400,4272.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1607264686590,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,24400,-2147483648,24400,4272.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1607264718657,2.1920931E7,21920931,10.700000000000003,29.467001,-2147483648,24500,-2147483648,24500,4272.0,100.0,2879.0,1.0766441479532089520176896257908083498477935791015625,0.11865118035239809,79884,11.484176635742188,3515,0,234,28289225489,2.8309645324E10,8,7,1,0.008928243273197835,0.0,0.1266352977771656,0.0,0.030179130430278606,0.0,0.7237062981850407,0.0,1.506214484786025,0.028169014084507043,0.01627179731147029,0.3877551020408163,5.124573783909284,0.4146341463414634,
1607264736071,3290277.0,3290277,1.5,10.103,-2147483648,24500,-2147483648,24500,4272.0,100.0,167.0,2.014064783250301804429227559012360870838165283203125,0.39783950091790166,2904,11.153976440429688,1,121,122,1092689610,1.115452362E9,8,7,1,1.0368551414901592,0.0,3.4857684973318026,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,1.346121071377956,0.9436619718309859,0.03829744527395048,0.9387755102040817,2.5437472042736453,0.9024390243902439,
1607264738531,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,24500,-2147483648,24500,4272.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1607264743389,1861899.0,1861899,1.6999999999999957,2.243,-2147483648,24400,-2147483648,24400,4272.0,100.0,165.0,1.121877297917710070151997570064850151538848876953125,0.4172441317892422,2935,11.171249389648438,0,115,115,1085108110,1.103172777E9,8,7,1,0.952794246835695,0.0,0.7321568609989577,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,0.18224864859074302,0.9859154929577465,0.019938636746036156,0.9591836734693877,0.31833856924793846,0.975609756097561,
