system time,modelled battery use nWh,fuel gauge consumption nWh,adb consumption mAh,Execution Time seconds,Battery Temperature before run in tenth of C,Battery Temperature after run in tenth of C,CPU-therm before run,CPU-therm after run in,average voltage,average percentage,AUT Jiffy,average of all deviations,dev. in length,LOC executed,AUT VM,advance iterations,noWhile,calls,advance total time nano sec,test suite total time nano sec,total number of tests,total number of failed tests,total number of passed tests,averageDeviation_EXPECTED_POSITIONS_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_UNCLAMPED,dev. in length,averageDeviation_EXPECTED_POSITIONS_CLAMPED,dev. in length,averageDeviation_EXPECTED_VELOCITIES_CLAMPED,dev. in length,averageDeviation_testSettingVelocityTriggersIteration,dev. in length,averageDeviation_testSettingCurrentValueWithoutSettingAtRestTriggersIteration,dev. in length,averageDeviation_testSpringMotionWithNoFriction,dev. in length,
1606632247686,2.0398248E7,20398248,15.1,30.021,-2147483648,24500,-2147483648,24500,4221.0,100.0,2929.0,0,0.0,86545,10.604461669921875,3803,0,272,28768698453,2.8786734121E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1606632272786,1.6090087E7,16090087,6.1,22.466,-2147483648,24900,-2147483648,24900,4221.0,100.0,2178.0,1.861755621122028525604719106922857463359832763671875,0.13915348737522198,61869,11.309494018554688,2715,0,221,21264049373,2.1287566374E10,8,7,1,0.012204275631650698,0.0,0.1963476039433104,0.0,0.04811408319219759,0.0,1.1150451682495293,0.0,1.9431527577060737,0.28169014084507044,0.024011810337534082,0.32653061224489793,9.693413648793904,0.36585365853658536,
1606632278499,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,25000,-2147483648,25000,4221.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606632281008,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,25000,-2147483648,25000,4221.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606632285899,2016293.0,2016293,2.900000000000002,2.309,-2147483648,25100,-2147483648,25100,4221.0,100.0,172.0,886.0924920219671321319765411317348480224609375,0.38135032194160484,3126,11.214736938476563,4,124,128,1150021865,1.173632701E9,8,7,1,161.4556178835294,0.0,6027.130044357121,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,2.6347242643522826,0.9014084507042254,0.03762432420008415,0.9387755102040817,5.741769201563167,0.8292682926829268,
1606632306713,1.3710246E7,13710246,5.199999999999999,18.147,-2147483648,25100,-2147483648,25100,4221.0,100.0,1747.0,9.2596339968418561738872085697948932647705078125,3.0387782143332873,47618,13.442306518554688,487,957,1444,16919843022,1.696674936E10,8,7,1,0.6655876311702239,0.0,4.67103242257355,0.0,0.5460679993729448,0.0,4.9687050074669274,0.0,5.9375046578028625,7.873239436619718,0.24369752579490056,7.959183673469388,47.784842733711585,5.439024390243903,
1606632312423,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,25400,-2147483648,25400,4221.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606632349546,2.5910242E7,25910242,10.499999999999996,34.559,-2147483648,25700,-2147483648,25700,4221.0,100.0,3393.0,0.5793846698738283063079279600060544908046722412109375,0.01829593789716898,94473,11.570449829101563,4155,0,278,33395837165,3.3422634001E10,8,7,1,0.00282560625521024,0.0,0.041444786520083064,0.0,0.009814276557018628,0.0,0.16295953674012945,0.0,0.46880320194850167,0.014084507042253521,0.0057271098297936905,0.04081632653061224,3.364118171266061,0.07317073170731707,
1606632385434,2.3663068E7,23663068,48.3,33.308002,-2147483648,25900,-2147483648,25900,4221.0,100.0,3115.0,0,0.0,86545,10.656417846679688,3803,0,272,30634536973,3.0650173557E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1606632419828,2.3761992E7,23761992,8.5,31.752,-2147483648,26200,-2147483648,26200,4221.0,100.0,3114.0,0,0.0,86545,10.703643798828125,3803,0,272,30607957135,3.062406947E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1606632454283,2.3882819E7,23882819,65.3,31.756,-2147483648,26300,-2147483648,26300,4221.0,100.0,3111.0,0,0.0,86545,10.67669677734375,3803,0,272,30625818473,3.0641625307E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1606632456892,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,26400,-2147483648,26400,4221.0,100.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606632491181,2.3967712E7,23967712,9.0,31.747,-2147483648,26400,-2147483648,26400,4221.0,99.5,3111.0,0,0.0,86545,10.81915283203125,3803,0,272,30601495303,3.0617408471E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1606632525665,2.3932784E7,23932784,8.400000000000006,31.808,-2147483648,26600,-2147483648,26600,4221.0,99.0,3115.0,0,0.0,86545,11.004287719726563,3803,0,272,30659769808,3.0675650394E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1606632560086,2.3789046E7,23789046,8.5,31.717001,-2147483648,26800,-2147483648,26800,4221.0,99.0,3111.0,0,0.0,86545,10.84869384765625,3803,0,272,30588575970,3.0605032887E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1606632594477,2.404479E7,24044790,8.5,31.776,-2147483648,26900,-2147483648,26900,4221.0,99.0,3115.0,0,0.0,86545,10.818206787109375,3803,0,272,30645487806,3.0661090559E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1606632628870,2.4140576E7,24140576,8.299999999999997,31.723999,-2147483648,26900,-2147483648,26900,4221.0,99.0,3110.0,0,0.0,86545,10.869155883789063,3803,0,272,30600443718,3.0615874969E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1606632663274,2.4043547E7,24043547,9.0,31.751999,-2147483648,27000,-2147483648,27000,4221.0,99.0,3111.0,0,0.0,86545,10.827117919921875,3803,0,272,30609703971,3.0625619887E10,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1606632689278,1.7689552E7,17689552,6.0,23.329,-2147483648,27000,-2147483648,27000,4221.0,99.0,2270.0,1.7609415709747080480696013182750903069972991943359375,0.13365709438312304,62597,11.662368774414063,2747,0,223,22170282712,2.2192059631E10,8,7,1,0.011239107530725889,0.0,0.1800140114737311,0.0,0.04376225871168072,0.0,1.0221810872609896,0.0,1.7963594706638526,0.2676056338028169,0.0220488373476407,0.32653061224489793,9.250986223834335,0.34146341463414637,
1606632720166,2.1343554E7,21343554,8.0,28.119001,-2147483648,27100,-2147483648,27100,4221.0,99.0,2744.0,1.0062672112429871251748636495904065668582916259765625,0.06586958285301656,75990,11.708938598632813,3339,0,245,26944679354,2.696655469E10,8,7,1,0.00526390893207615,0.0,0.08088542933864279,0.0,0.019298484031772877,0.0,0.5261444973989603,0.0,0.8538570713388667,0.2535211267605634,0.010691075326484362,0.061224489795918366,5.547730012334107,0.14634146341463414,
1606632725850,1.7976931348623157E308,9223372036854775807,1.7976931348623157E308,-1.0,-2147483648,27100,-2147483648,27100,4221.0,99.0,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807
1606632730740,1974142.0,1974142,2.0,2.3140001,-2147483648,27100,-2147483648,27100,4221.0,99.0,172.0,39.0854596168752408402724540792405605316162109375,0.38135032194160484,3126,11.619476318359375,4,124,128,1149386863,1.171101201E9,8,7,1,5.583167428226628,0.0,253.95328470186476,0.0,0.5502954430767693,0.0,5.09736867992783,0.0,2.6347242643522826,0.9014084507042254,0.03760759911522997,0.9387755102040817,5.741769201563167,0.8292682926829268,
