Spring_DOUBLE_26_1,Spring_DOUBLE_24_1,Spring_DOUBLE_46_1,Spring_DOUBLE_377_1,Spring_DOUBLE_377_3,sigma 1,sigma 2,sigma 3,sigma 4,sigma 5,solutionNumber,parent,tournament Number,fuel use,MAE,test suite execution time,wasFitter,battery level,extra info,joules
0.0009999999999999998,1.16184899901353,10.53971706667305,1.719188870988873,2.371780865355547,1,0.1285735858979389,7.987824194058478,1.052211316243536,1.896321595158864,148,nexus 9.M.130,65,10295887,0.9317358149206362,12.974,True,87,,37.0651932
0.0009999999999999998,1.08998941333027,10.53971706667305,1.719188870988873,2.371780865355547,1,0.1293494524393829,7.987824194058478,1.052211316243536,1.896321595158864,150,nexus 9.M.148,65,10408722,0.9317358149206362,12.974999,False,87,,37.4713992
0.0009999999999999998,1.16184899901353,10.53971706667305,1.719188870988873,2.371780865355547,1,0.1285735858979389,7.987824194058478,1.052211316243536,1.896321595158864,148,nexus 9.M.130,66,10364558,0.9317358149206362,12.967999,False,87,,37.3124088
0.0009999999999999998,1.020693066461393,10.53971706667305,1.719188870988873,2.371780865355547,1,0.2012258314783037,7.987824194058478,1.052211316243536,1.896321595158864,151,nexus 9.M.148,66,10271140,0.9317358149206362,12.966,True,87,,36.976104
0.0009999999999999998,1.020693066461393,10.53971706667305,1.719188870988873,2.371780865355547,1,0.2012258314783037,7.987824194058478,1.052211316243536,1.896321595158864,151,nexus 9.M.148,67,10327913,0.9317358149206362,12.987,True,87,,37.1804868
0.0009999999999999998,1.020693066461393,16.79450763249788,2.076803953884234,2.371780865355547,1,0.2012258314783037,9.85129033992937,0.5819270974260207,1.896321595158864,153,nexus 9.M.151,67,10427843,0.9925249871007858,13.103,False,87,,37.5402348
0.0009999999999999998,1.020693066461393,10.53971706667305,1.719188870988873,2.371780865355547,1,0.2012258314783037,7.987824194058478,1.052211316243536,1.896321595158864,151,nexus 9.M.148,68,10301688,0.9317358149206362,12.998,True,86,,37.0860768
0.0009999999999999998,0.9137166363197775,10.53971706667305,1.719188870988873,2.371780865355547,1,0.2447523904406821,7.987824194058478,1.052211316243536,1.896321595158864,155,nexus 9.M.151,68,10590170,0.9317358149206362,12.913,False,87,,38.124612
0.0009999999999999998,1.020693066461393,10.53971706667305,1.719188870988873,2.371780865355547,1,0.2012258314783037,7.987824194058478,1.052211316243536,1.896321595158864,151,nexus 9.M.148,69,10307075,0.9317358149206362,13.056,False,86,,37.10547
0.0009999999999999998,0.9542645119981021,10.53971706667305,1.719188870988873,2.371780865355547,1,0.232695853004555,7.987824194058478,1.052211316243536,1.896321595158864,157,nexus 9.M.151,69,10156707,0.9317358149206362,12.954,True,86,,36.5641452
0.0009999999999999998,0.9542645119981021,10.53971706667305,1.719188870988873,2.371780865355547,1,0.232695853004555,7.987824194058478,1.052211316243536,1.896321595158864,157,nexus 9.M.151,70,10538310,0.9317358149206362,13.002001,False,86,,37.937916
0.0009999999999999998,0.9542645119981021,15.87916154698775,1.719188870988873,2.371780865355547,1,0.232695853004555,10.55183380334689,1.052211316243536,1.896321595158864,159,nexus 9.M.157,70,10214190,0.9317358149206362,12.974,True,86,,36.771084
0.0009999999999999998,0.9542645119981021,15.87916154698775,1.719188870988873,2.371780865355547,1,0.232695853004555,10.55183380334689,1.052211316243536,1.896321595158864,159,nexus 9.M.157,71,10369768,0.9317358149206362,13.018,True,86,,37.3311648
0.0009999999999999998,1.428118987249807,15.87916154698775,1.719188870988873,2.371780865355547,1,0.2879924801996239,10.55183380334689,1.052211316243536,1.896321595158864,160,nexus 9.M.159,71,10393330,0.9317358149206362,13.016001,False,86,,37.415988
0.0009999999999999998,0.9542645119981021,15.87916154698775,1.719188870988873,2.371780865355547,1,0.232695853004555,10.55183380334689,1.052211316243536,1.896321595158864,159,nexus 9.M.157,72,10441577,0.9317358149206362,12.971,False,86,,37.5896772
0.0009999999999999998,0.9254282149999598,15.87916154698775,1.719188870988873,2.371780865355547,1,0.1276098174481405,10.55183380334689,1.052211316243536,1.896321595158864,161,nexus 9.M.159,72,10240476,0.9317358149206362,13.005,True,86,,36.8657136
0.0009999999999999998,0.9254282149999598,15.87916154698775,1.719188870988873,2.371780865355547,1,0.1276098174481405,10.55183380334689,1.052211316243536,1.896321595158864,161,nexus 9.M.159,73,10398539,0.9317358149206362,13.043,True,86,,37.4347404
0.0009999999999999998,0.9917731595004075,15.87916154698775,1.719188870988873,2.371780865355547,1,0.08411763668487436,10.55183380334689,1.052211316243536,1.896321595158864,162,nexus 9.M.161,73,10411563,0.9317358149206362,12.988,False,86,,37.4816268
0.0009999999999999998,0.9254282149999598,15.87916154698775,1.719188870988873,2.371780865355547,1,0.1276098174481405,10.55183380334689,1.052211316243536,1.896321595158864,161,nexus 9.M.159,74,10434888,0.9317358149206362,12.974,True,86,,37.5655968
0.0009999999999999998,0.9254282149999598,15.87916154698775,1.719188870988873,1.576159961463429,1,0.1276098174481405,10.55183380334689,1.052211316243536,1.538670097807085,165,nexus 9.M.161,74,12937805,0.7392656032761792,16.228001,False,86,,46.576098
0.0009999999999999998,0.9254282149999598,15.87916154698775,1.719188870988873,2.371780865355547,1,0.1276098174481405,10.55183380334689,1.052211316243536,1.896321595158864,161,nexus 9.M.159,75,10325250,0.9317358149206362,13.0,True,85,,37.1709
0.0009999999999999998,0.88970079495942,11.73674487087322,1.719188870988873,1.282476760693666,1,0.05556722320936605,6.438819171317583,1.052211316243536,1.506727678559508,167,nexus 9.M.161,75,16921551,0.6197917992281479,21.306,False,85,,60.9175836
0.0009999999999999998,0.9254282149999598,15.87916154698775,1.719188870988873,2.371780865355547,1,0.1276098174481405,10.55183380334689,1.052211316243536,1.896321595158864,161,nexus 9.M.159,76,10527240,0.9317358149206362,13.007,True,85,,37.898064
0.0009999999999999998,0.9043466203464441,15.87916154698775,1.719188870988873,1.168993571005304,1,0.1188760793579841,10.55183380334689,1.052211316243536,1.46958244691357,169,nexus 9.M.161,76,15769341,0.5148682744510783,19.900999,False,85,,56.7696276
0.0009999999999999998,0.9254282149999598,15.87916154698775,1.719188870988873,2.371780865355547,1,0.1276098174481405,10.55183380334689,1.052211316243536,1.896321595158864,161,nexus 9.M.159,77,10313765,0.9317358149206362,13.699,True,85,,37.12955400000001
