Spring_DOUBLE_26_1,Spring_DOUBLE_24_1,Spring_DOUBLE_46_1,Spring_DOUBLE_377_1,Spring_DOUBLE_377_3,sigma 1,sigma 2,sigma 3,sigma 4,sigma 5,solutionNumber,parent,tournament Number,fuel use,MAE,test suite execution time,wasFitter,battery level,extra info,immigration time,joules
0.0009999999999999998,0.06399999999999999,0.005,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0,-1,1,8175.0,0.0,106.172005,True,99,,-1.0,108.891
0.0009999999999999998,1.337277287982501,0.005,1.02508362014499,1.631012616037407,1.0,0.8359610561110725,1.0,0.7748364355009151,0.9646794424204604,1,nexus 6.M.0,1,8311.0,0.8565882861098598,108.621994,False,99,,-1.0,110.70252
0.0009999999999999998,0.06399999999999999,0.005,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0,-1,2,8061.0,0.0,103.300003,True,97,,-1.0,107.37252
0.0009999999999999998,0.06399999999999999,0.005,1.0,1.843054596361384,1.0,1.0,1.0,1.0,1.362586232326187,4,nexus 6.M.0,2,8340.0,0.4225865422303013,106.581001,False,97,,-1.0,111.0888
0.0009999999999999998,0.06399999999999999,0.005,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0,-1,3,8001.0,0.0,102.916,False,96,,-1.0,106.57332
0.0009999999999999998,0.06399999999999999,0.005,1.0,2.434119144465403,1.0,1.0,1.0,1.0,0.6893946983085739,5,nexus 6.M.0,3,7815.0,0.8888493748774524,97.337997,True,96,,-1.0,104.0958
0.0009999999999999998,0.06399999999999999,0.005,1.0,2.434119144465403,1.0,1.0,1.0,1.0,0.6893946983085739,5,nexus 6.M.0,4,7800.0,0.8888493748774524,99.157997,False,95,,-1.0,103.896
0.0009999999999999998,0.9089824738703061,0.005,1.0,2.434119144465403,1.0,0.7478542931658287,1.0,1.0,0.6893946983085739,8,nexus 6.M.5,4,7744.0,0.8888493748774524,99.280006,True,95,,-1.0,103.15008
0.0009999999999999998,0.9089824738703061,0.005,1.0,2.434119144465403,1.0,0.7478542931658287,1.0,1.0,0.6893946983085739,8,nexus 6.M.5,5,7754.0,0.8888493748774524,99.883995,False,94,,-1.0,103.28328
0.0009999999999999998,1.021957878139939,0.005,1.0,2.434119144465403,1.0,1.171653293437784,1.0,1.0,0.6893946983085739,9,nexus 6.M.8,5,7668.0,0.8888493748774524,98.015999,True,94,,-1.0,102.13776
0.0009999999999999998,1.021957878139939,0.005,1.0,2.434119144465403,1.0,1.171653293437784,1.0,1.0,0.6893946983085739,9,nexus 6.M.8,6,7886.0,0.8888493748774524,97.983002,False,91,,-1.0,105.04152
0.0009999999999999998,1.021957878139939,1.881425138565766,1.0,2.434119144465403,1.0,1.171653293437784,1.107426273480512,1.0,0.6893946983085739,19,nexus 6.M.9,6,5982.0,0.4955527350330277,76.303001,True,92,,-1.0,79.68024
0.0009999999999999998,1.021957878139939,1.881425138565766,1.0,2.434119144465403,1.0,1.171653293437784,1.107426273480512,1.0,0.6893946983085739,19,nexus 6.M.9,7,6038.0,0.4955527350330277,73.372002,True,91,,-1.0,80.42616000000001
0.0009999999999999998,1.879691132236252,1.121920294382299,1.0,2.434119144465403,1.0,0.9617231083519067,1.434325263515286,1.0,0.6893946983085739,20,nexus 6.M.19,7,6317.0,0.5184610846545733,75.646996,False,91,,-1.0,84.14244000000001
0.0009999999999999998,1.021957878139939,1.881425138565766,1.0,2.434119144465403,1.0,1.171653293437784,1.107426273480512,1.0,0.6893946983085739,19,nexus 6.M.9,8,5976.0,0.4955527350330277,74.27600100000001,True,90,,-1.0,79.60032000000001
0.0009999999999999998,0.9408515984852713,1.881425138565766,1.0,2.434119144465403,1.0,1.941449331000784,1.107426273480512,1.0,0.6893946983085739,22,nexus 6.M.19,8,6016.0,0.4955527350330277,75.047005,False,90,,-1.0,80.13312
0.0009999999999999998,1.021957878139939,1.881425138565766,1.0,2.434119144465403,1.0,1.171653293437784,1.107426273480512,1.0,0.6893946983085739,19,nexus 6.M.9,9,6079.0,0.4955527350330277,74.037003,False,89,,-1.0,80.97228
0.01619935001640819,23.38399210417262,35.5798130300256,1.100575254834848,4.711616621698266,0.6277394930405304,0.002127413040441419,0.05850742101519798,0.05538051531203915,0.01593143513604647,23,moto g play.M.2248.2250,9,707.0,0.9075714061772552,8.114,True,90,,32.606998,9.41724
0.01619935001640819,23.38399210417262,35.5798130300256,1.100575254834848,4.711616621698266,0.6277394930405304,0.002127413040441419,0.05850742101519798,0.05538051531203915,0.01593143513604647,23,moto g play.M.2248.2250,10,676.0,0.9075714061772552,8.017,True,89,,-1.0,9.004320000000002
0.01619935001640819,23.3837761105716,35.5798130300256,1.141066394656427,4.711616621698266,0.6277394930405304,0.00122190475337543,0.05850742101519798,0.0587777268730438,0.01593143513604647,24,nexus 6.M.23,10,767.0,0.9388294723136024,9.096,False,89,,-1.0,10.21644
0.01619935001640819,23.38399210417262,35.5798130300256,1.100575254834848,4.711616621698266,0.6277394930405304,0.002127413040441419,0.05850742101519798,0.05538051531203915,0.01593143513604647,23,moto g play.M.2248.2250,11,735.0,0.9075714061772552,7.789,False,89,,-1.0,9.7902
0.01619935001640819,23.38389880876195,35.5798130300256,1.100575254834848,4.711528168365446,0.6277394930405304,0.002000765328428379,0.05850742101519798,0.05538051531203915,0.01269448176190662,25,nexus 6.M.23,11,703.0,0.9075583626209726,7.89,True,89,,-1.0,9.363959999999999
