Spring_DOUBLE_26_1,Spring_DOUBLE_24_1,Spring_DOUBLE_46_1,Spring_DOUBLE_377_1,Spring_DOUBLE_377_3,sigma 1,sigma 2,sigma 3,sigma 4,sigma 5,solutionNumber,parent,tournament Number,fuel use,MAE,test suite execution time,wasFitter,battery level,extra info,immigration time,joules
0.0009999999999999998,0.06399999999999999,0.005,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0,-1,1,3253,0.0,77.269005,True,100,,-1.0,43.32996000000001
0.0009999999999999998,0.2210492318611681,0.005,1.0,2.0,1.0,0.628655668450516,1.0,1.0,1.0,6,moto g play.N.0,1,3267,0.0,77.798004,False,100,,-1.0,43.51644
0.0009999999999999998,0.06399999999999999,0.005,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0,-1,2,3253,0.0,77.487999,False,99,,-1.0,43.32996000000001
0.0009999999999999998,0.06399999999999999,0.005,1.01141448457628,2.0,1.0,1.0,1.0,0.7764819092303383,1.0,11,moto g play.N.0,2,3253,0.08473351557452917,77.217003,True,99,,-1.0,43.32996000000001
0.0009999999999999998,0.06399999999999999,0.005,1.01141448457628,2.0,1.0,1.0,1.0,0.7764819092303383,1.0,11,moto g play.N.0,3,3295,0.08473351557452917,77.193001,False,99,,-1.0,43.8894
0.0009999999999999998,0.6008649083423014,0.005,1.01141448457628,2.0,1.0,1.345274012038908,1.0,0.7764819092303383,1.0,16,moto g play.N.11,3,3261,0.08473351557452917,77.056999,True,99,,-1.0,43.43652
0.0009999999999999998,0.6008649083423014,0.005,1.01141448457628,2.0,1.0,1.345274012038908,1.0,0.7764819092303383,1.0,16,moto g play.N.11,4,3230,0.08473351557452917,77.370003,False,98,,-1.0,43.0236
0.0009999999999999998,0.6008649083423014,1.442222762385167,1.01141448457628,2.0,1.0,1.345274012038908,0.8846247605657713,0.7764819092303383,1.0,18,moto g play.N.16,4,2485,0.04751422367337942,59.636002,True,98,,-1.0,33.1002
0.0009999999999999998,0.6008649083423014,1.442222762385167,1.01141448457628,2.0,1.0,1.345274012038908,0.8846247605657713,0.7764819092303383,1.0,18,moto g play.N.16,5,2513,0.04751422367337942,58.601997,True,98,,-1.0,33.47316
0.0009999999999999998,0.6008649083423014,1.576519443800273,1.01141448457628,2.0,1.0,1.345274012038908,1.60802692772698,0.7764819092303383,1.0,22,moto g play.N.18,5,2519,0.04751422367337942,58.562,False,98,,-1.0,33.55308
0.0009999999999999998,0.6008649083423014,1.442222762385167,1.01141448457628,2.0,1.0,1.345274012038908,0.8846247605657713,0.7764819092303383,1.0,18,moto g play.N.16,6,2510,0.04751422367337942,58.75,True,98,,-1.0,33.4332
